AMS FTA,ASEAN baseline,Matched words,Total words AMS,Total words ASEAN,% of AMS,% of ASEAN
CA-China (2020).txt,ASEAN FTA.txt,4364,22618,33228,19.29,13.13
CA-ROK (2021).txt,ASEAN FTA.txt,2758,23179,33228,11.90,8.30
CA-UAE (2023).txt,ASEAN FTA.txt,4316,40339,33228,10.70,12.99
CA-US (2025).txt,ASEAN FTA.txt,65,2874,33228,2.26,0.20
