AMS FTA,ASEAN baseline,Matched words,Total words AMS,Total words ASEAN,% of AMS,% of ASEAN
517_Japan Malaysia_2005Cut.txt,ASEAN FTA.txt,4402,28162,33228,15.63,13.25
599_Malaysia Pakistan_2007Cut.txt,ASEAN FTA.txt,4874,21646,33228,22.52,14.67
795_Australia Malaysia_2012 cut.txt,ASEAN FTA.txt,6543,41855,33228,15.63,19.69
800_Chile Malaysia_2010 cut.txt,ASEAN FTA.txt,2000,16254,33228,12.30,6.02
MY-EFTA (2025).txt,ASEAN FTA.txt,3882,31307,33228,12.40,11.68
MY-India (2011).txt,ASEAN FTA.txt,6850,32646,33228,20.98,20.62
MY-NZ (2009).txt,ASEAN FTA.txt,6540,31398,33228,20.83,19.68
MY-Turkey (2022).txt,ASEAN FTA.txt,7873,39694,33228,19.83,23.69
MY-UAE (2025).txt,ASEAN FTA.txt,4350,39660,33228,10.97,13.09
