AMS FTA,ASEAN baseline,Matched words,Total words AMS,Total words ASEAN,% of AMS,% of ASEAN
ID-Aus (2019).txt,ASEAN FTA.txt,8322,52284,33228,15.92,25.05
ID-Canada (2025).txt,ASEAN FTA.txt,4921,111344,33228,4.42,14.81
ID-Chile (2017).txt,ASEAN FTA.txt,2281,19938,33228,11.44,6.86
ID-EFTA (2018).txt,ASEAN FTA.txt,3166,18008,33228,17.58,9.53
ID-Japan (2007).txt,ASEAN FTA.txt,3705,27954,33228,13.25,11.15
ID-ROK (2020).txt,ASEAN FTA.txt,7093,32733,33228,21.67,21.35
ID-UAE (2022).txt,ASEAN FTA.txt,4596,43957,33228,10.46,13.83
