AMS FTA,ASEAN baseline,Matched words,Total words AMS,Total words ASEAN,% of AMS,% of ASEAN
632_New Zealand Thailand_2005Cut.txt,ASEAN FTA.txt,3863,23298,33228,16.58,11.63
771_Peru Thailand_2005Cut.txt,ASEAN FTA.txt,64,1223,33228,5.23,0.19
83_Australia Thailand_2004.txt,ASEAN FTA.txt,3252,25733,33228,12.64,9.79
TH-Chile (2013).txt,ASEAN FTA.txt,4012,28388,33228,14.13,12.07
TH-EFTA (2025).txt,ASEAN FTA.txt,3791,23238,33228,16.31,11.41
TH-India (2003).txt,ASEAN FTA.txt,225,2202,33228,10.22,0.68
TH-Japan (2007).txt,ASEAN FTA.txt,4253,29848,33228,14.25,12.80
