AMS FTA,ASEAN baseline,Matched words,Total words AMS,Total words ASEAN,% of AMS,% of ASEAN
523_Japan Vietnam_2008Cut.txt,ASEAN FTA.txt,3932,21094,33228,18.64,11.83
VN-Chile (2011).txt,ASEAN FTA.txt,2858,15990,33228,17.87,8.60
VN-EEU (2015).txt,ASEAN FTA.txt,3713,33811,33228,10.98,11.17
VN-EU + Investment (2019).txt,ASEAN FTA.txt,4244,95025,33228,4.47,12.77
VN-Israel (2023).txt,ASEAN FTA.txt,3967,30302,33228,13.09,11.94
VN-ROK (2015).txt,ASEAN FTA.txt,6545,39994,33228,16.36,19.70
VN-UAE (2024).txt,ASEAN FTA.txt,4001,36114,33228,11.08,12.04
VN-US (2000).txt,ASEAN FTA.txt,2656,19361,33228,13.72,7.99
